Fiscal Year,Fiscal Quarter,Service Line,Service,Sub Service,Train Number,Arrival Station Code,Arrival Station Name,Total Detraining Customers,Late Detraining Customers,Avg Min Late (Lt CS),Avg Min Late (Lt C)
2024,3,Long Distance,Auto Train,Auto Train,52,LOR,"Lorton (Auto Train), Virginia",42445,23316,95.0,
2024,3,Long Distance,Auto Train,Auto Train,53,SFA,"Sanford (Auto Train), Florida",28034,18439,91.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,BRL,"Burlington, Iowa",557,223,54.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,COX,"Colfax, California",508,326,99.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,CRN,"Creston, Iowa",205,144,67.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,DAV,"Davis, California",407,169,80.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,DEN,"Denver (Union Station), Colorado",5865,1171,113.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,ELK,"Elko, Nevada",323,239,88.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,EMY,"Emeryville, California",6699,2762,117.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,FMG,"Fort Morgan, Colorado",190,67,90.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,GBB,"Galesburg, Illinois",641,169,58.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,GJT,"Grand Junction, Colorado",2526,1400,80.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,GRA,"Granby, Colorado",306,123,88.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,GRI,"Green River, Utah",223,161,71.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,GSC,"Glenwood Springs, Colorado",3477,1785,77.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,HAS,"Hastings, Nebraska",214,73,76.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,HER,"Helper, Utah",217,145,102.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,HLD,"Holdrege, Nebraska",75,31,62.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,LNK,"Lincoln, Nebraska",692,180,92.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,MCK,"McCook, Nebraska",257,68,58.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,MTP,"Mount Pleasant, Iowa",675,317,54.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,MTZ,"Martinez, California",1826,804,107.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,OMA,"Omaha, Nebraska",1402,572,70.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,OSC,"Osceola, Iowa",1101,612,79.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,OTM,"Ottumwa, Iowa",837,366,86.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,PCT,"Princeton, Illinois",389,106,55.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,PRO,"Provo, Utah",903,659,77.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,RIC,"Richmond, California",460,175,104.0,
2024,3,Long Distance,California Zephyr,California Zephyr,5,RNO,"Reno, Nevada",2567,1652,83.0,
