Rk,Player,Pos,Alpha_2_Code,Squad,Age,Born,90s,Gls,Sh,SoT
5,Eseosa Aigbogun,DF,CH,Switzerland,30,1993,3.5,0,0,0
7,Michelle Alozie,DF,NG,Nigeria,26,1997,4.3,0,6,0
9,Lúcia Alves,DF,PT,Portugal,25,1997,1.1,0,2,2
10,Catarina Amado,DF,PT,Portugal,23,1999,1.8,0,0,0
12,Jonna Andersson,DF,SE,Sweden,30,1993,6.3,0,2,0
14,Ivana Andrés,DF,ES,Spain,28,1994,2.7,0,4,2
18,Tahnai Annis,DF,PH,Philippines,33,1989,0.2,0,0,0
19,Antônia,DF,BR,Brazil,29,1994,2.5,0,3,1
21,Carolina Arias,DF,CO,Colombia,32,1990,4.1,0,0,0
22,Daniela Arias,DF,CO,Colombia,28,1994,5.0,0,3,2
27,Izzy Atkinson,MF|DF,IE,Rep. of Ireland,21,2001,0.3,0,0,0
35,Stine Ballisager Pedersen,DF,DK,Denmark,29,1994,2.8,0,0,0
36,Carina Baltrip-Reyes,DF,PA,Panama,24,1998,3.0,0,1,1
40,Alicia Barker,DF,PH,Philippines,25,1998,2.4,0,0,0
42,Elisa Bartoli,DF,IT,Italy,32,1991,0.3,0,0,0
43,Ona Batlle,DF,ES,Spain,24,1999,6.8,0,4,1
44,Angela Beard,DF,PH,Philippines,25,1997,3.0,0,2,1
50,Margaret Belemu,DF,ZM,Zambia,26,1997,3.0,0,1,0
51,Mariana Benavides,DF,CR,Costa Rica,28,1994,3.0,0,1,1
54,Nouhaila Benzina,DF,MA,Morocco,25,1998,3.0,0,1,0
55,Guro Bergsvand,DF,NO,Norway,29,1994,0.1,0,0,0
57,Thea Bjelde,DF,NO,Norway,23,2000,3.7,0,0,0
58,Nathalie Björn,DF,SE,Sweden,26,1997,6.3,0,4,0
60,Deneisha Blackwood,DF,JM,Jamaica,26,1997,4.0,0,2,1
63,Lisa Boattin,DF,IT,Italy,26,1997,3.0,0,3,1
69,Ana Borges,DF,PT,Portugal,32,1990,3.0,0,0,0
70,CJ Bott,DF,NZ,New Zealand,28,1995,3.0,0,5,1
72,Katie Bowen,DF,NZ,New Zealand,29,1994,3.0,0,3,0
73,Simone Boye Sørensen,DF,DK,Denmark,31,1992,4.0,0,2,0
75,Marit Bratberg Lund,DF,NO,Norway,25,1997,0.0,0,0,0
76,Sophia Braun,MF|DF,AR,Argentina,22,2000,3.0,1,2,1
77,Millie Bright,DF,EN,England,29,1993,7.3,0,5,0
78,Lucy Bronze,DF,EN,England,31,1991,7.1,0,8,0
82,Bruninha,DF,BR,Brazil,20,2002,0.4,0,1,0
84,Kadeisha Buchanan,DF,CA,Canada,27,1995,2.5,0,1,0
85,Ryley Bugay,MF|DF,PH,Philippines,27,1996,0.3,0,0,0
87,Luana Bühler,DF,CH,Switzerland,27,1996,1.0,0,0,0
88,Claudia Bunge,DF,NZ,New Zealand,23,1999,0.6,0,1,1
92,Diane Caldwell,DF,IE,Rep. of Ireland,34,1988,0.0,0,0,0
97,Jorelyn Carabalí,DF,CO,Colombia,26,1997,5.0,0,2,0
98,Olga Carmona,DF,ES,Spain,23,2000,4.8,2,11,4
99,Ellie Carpenter,DF,AU,Australia,23,2000,7.1,0,4,1
100,Jess Carter,DF,EN,England,25,1997,6.3,0,0,0
104,Estelle Cascarino,DF,FR,France,26,1997,2.1,0,1,1
105,Kerstin Casparij,FW|DF,NL,Netherlands,22,2000,0.8,0,1,0
106,Katherine Castillo,DF,PA,Panama,27,1996,2.0,0,1,0
107,Steph Catley,DF,AU,Australia,29,1994,7.3,2,2,1
113,Nesryne El Chad,DF,MA,Morocco,20,2003,3.1,0,2,1
117,Allysha Chapman,DF,CA,Canada,34,1989,0.7,0,0,0
119,Gabriela Chávez,DF,AR,Argentina,34,1989,0.2,0,0,0
121,Gao Chen,DF,CN,China PR,30,1992,0.1,0,0,0
128,Laia Codina,DF,ES,Spain,23,2000,3.6,1,3,1
130,Aldana Cometti,DF,AR,Argentina,27,1996,3.0,0,0,0
131,Megan Connolly,DF,IE,Rep. of Ireland,26,1997,3.0,0,1,0
135,Carole Costa,DF,PT,Portugal,33,1990,3.0,0,2,0
137,Jessika Cowart,DF,PH,Philippines,23,1999,2.9,0,1,0
140,Julieta Cruz,DF,AR,Argentina,27,1996,1.3,0,0,0
143,Rachel Daly,DF,EN,England,31,1991,6.0,1,12,7
144,Élisa De Almeida,DF,FR,France,25,1998,3.3,0,3,0
146,Valeria del Campo,DF,CR,Costa Rica,23,2000,2.0,0,2,1
148,Blessing Demehin,DF,NG,Nigeria,21,2002,4.3,0,0,0
150,Stefanie van der Gragt,DF,NL,Netherlands,30,1992,4.7,2,5,3
151,Karabo Dhlamini,DF,ZA,South Africa,21,2001,3.0,0,2,0
152,Lucia Di Guglielmo,DF,IT,Italy,25,1997,2.3,0,1,0
154,Caitlin Dijkstra,MF|DF,NL,Netherlands,24,1999,0.5,0,0,0
158,Sara Doorsoun,DF,DE,Germany,31,1991,1.5,0,0,0
162,Crystal Dunn,DF,US,USA,30,1992,4.2,0,1,0
174,Jun Endō,MF|DF,JP,Japan,23,2000,3.3,1,2,1
177,Magdalena Eriksson,DF,SE,Sweden,29,1993,7.3,0,7,0
178,Julie Ertz,DF,US,USA,31,1992,4.3,0,9,2
179,Rebeca Espinosa,DF,PA,Panama,30,1992,0.3,0,0,0
184,Niamh Fahey,DF,IE,Rep. of Ireland,35,1987,3.0,0,1,0
194,Emily Fox,DF,US,USA,24,1998,4.2,0,2,0
201,Rocío Gálvez,DF,ES,Spain,26,1997,1.0,0,0,0
202,Bongeka Gamede,MF|DF,ZA,South Africa,24,1999,4.0,0,2,0
205,Luna Gevitz,DF,DK,Denmark,29,1994,0.0,0,0,0
209,Vanessa Gilles,DF,CA,Canada,27,1996,3.0,0,4,0
212,Naomi Girma,DF,US,USA,23,2000,4.3,0,0,0
214,Benedetta Glionna,DF,IT,Italy,23,1999,0.0,0,1,0
215,Diana Gomes,DF,PT,Portugal,24,1998,2.0,0,1,0
224,Alex Greenwood,DF,EN,England,29,1993,7.3,0,0,0
231,Ana María Guzmán,DF,CO,Colombia,18,2005,1.9,0,1,0
233,Chantal Hagel,DF,DE,Germany,24,1998,2.0,0,1,0
235,Wu Haiyan,DF,CN,China PR,30,1993,0.2,0,0,0
236,Hanane Aït El Haj,DF,MA,Morocco,28,1994,4.0,0,2,1
237,Maika Hamano,DF,JP,Japan,19,2004,0.0,0,1,0
239,Tuva Hansen,DF,NO,Norway,25,1997,3.6,0,3,1
