Rk,Player,Pos,Alpha_2_Code,Squad,Age,Born,90s,Gls,Sh,SoT,Sh_Conv_Rate,SoT_Conv_Rate
374,Hinata Miyazawa,FW|MF,JP,Japan,23,1999,3.7,5,13,6,0.38,0.83
447,Alexandra Popp,FW|MF,DE,Germany,32,1991,2.9,4,14,7,0.29,0.57
485,Jill Roord,MF,NL,Netherlands,26,1997,4.6,4,18,7,0.22,0.57
270,Amanda Ilestedt,DF,SE,Sweden,30,1993,7.0,4,9,6,0.44,0.67
153,Kadidiatou Diani,FW,FR,France,28,1995,5.0,4,17,3,0.24,1.33
489,Alessia Russo,FW,EN,England,24,1999,5.8,3,22,12,0.14,0.25
318,Eugénie Le Sommer,FW,FR,France,34,1989,3.9,3,13,9,0.23,0.33
466,Alba Redondo,FW,ES,Spain,26,1996,4.4,3,17,8,0.18,0.38
249,Lauren Hemp,FW,EN,England,22,2000,5.8,3,13,7,0.23,0.43
277,Lauren James,MF|FW,EN,England,21,2001,3.7,3,9,6,0.33,0.5
463,Hayley Raso,MF,AU,Australia,28,1994,6.2,3,10,6,0.3,0.5
484,Sophie Román Haug,FW,NO,Norway,24,1999,2.8,3,13,6,0.23,0.5
66,Aitana Bonmatí,MF,ES,Spain,25,1998,6.5,3,19,6,0.16,0.5
251,Jennifer Hermoso,MF|FW,ES,Spain,33,1990,7.2,3,19,6,0.16,0.5
24,Ary Borges,MF,BR,Brazil,23,1999,2.3,3,7,4,0.43,0.75
62,Rebecka Blomqvist,FW,SE,Sweden,25,1997,1.8,3,3,3,1.0,1.0
483,Fridolina Rolfö,FW|MF,SE,Sweden,29,1993,5.5,3,10,3,0.3,1.0
303,Thembi Kgatlana,FW,ZA,South Africa,27,1996,3.9,2,19,9,0.11,0.22
424,Salma Paralluelo,FW,ES,Spain,19,2003,5.1,2,19,6,0.11,0.33
587,Riko Ueki,FW,JP,Japan,23,1999,2.0,2,10,5,0.2,0.4
343,Hildah Magaia,FW|MF,ZA,South Africa,28,1994,3.6,2,6,4,0.33,0.5
81,Esmee Brugts,FW,NL,Netherlands,19,2003,4.8,2,8,4,0.25,0.5
98,Olga Carmona,DF,ES,Spain,23,2000,4.8,2,11,4,0.18,0.5
257,Lindsey Horan,MF,US,USA,29,1994,4.3,2,12,4,0.17,0.5
563,Mina Tanaka,FW,JP,Japan,29,1994,3.0,2,13,4,0.15,0.5
532,Sophia Smith,FW,US,USA,22,2000,4.0,2,13,4,0.15,0.5
150,Stefanie van der Gragt,DF,NL,Netherlands,30,1992,4.7,2,5,3,0.4,0.67
468,Guro Reiten,MF,NO,Norway,28,1994,4.0,2,8,3,0.25,0.67
103,Arianna Caruso,MF,IT,Italy,23,1999,2.3,2,4,2,0.5,1.0
588,Catalina Usme,FW|MF,CO,Colombia,33,1989,5.0,2,7,2,0.29,1.0
90,Linda Caicedo,FW,CO,Colombia,18,2005,5.0,2,8,2,0.25,1.0
107,Steph Catley,DF,AU,Australia,29,1994,7.3,2,2,1,1.0,2.0
525,Wang Shuang,FW|MF,CN,China PR,28,1995,1.8,2,3,1,0.67,2.0
351,Lieke Martens,FW,NL,Netherlands,30,1992,5.3,1,21,8,0.05,0.12
143,Rachel Daly,DF,EN,England,31,1991,6.0,1,12,7,0.08,0.14
